Empresa,Puesto,Ciudad,Fecha,Habilidades
S Laborales 17 De Noviembre,Analista de Laboratorio - Concurso contrato a plazo fijo en CNEA,Buenos Aires,No especificada,"informática (Técnica), c (Técnica), analista (Técnica), comunicación (Blanda), trabajo en equipo (Blanda)"
Gerencia De Calidad Y Asuntos,Gerencia de Calidad y Asuntos Regulatorios,No especificada,2 de noviembre de 2022,"c (Técnica), experiencia (Blanda), comunicación (Blanda), liderazgo (Blanda)"
Especialista En Asuntos Regulatorios Para,Especialista en Asuntos Regulatorios,No especificada,2 de noviembre de 2022,"c (Técnica), experiencia (Blanda), comunicación (Blanda)"
Especialista De Producto Jr. En,Especialista de Producto Jr. en Rosario,Rosario,No especificada,"c (Técnica), bioingeniero (Técnica), ingeniero (Técnica), comunicación (Blanda)"
Bioingeniero,Bioingeniero/a para sanatorio de Posadas Misiones,Posadas,No especificada,"c (Técnica), bioingeniero (Técnica), ingeniero (Técnica), experiencia (Blanda), comunicación (Blanda)"
Aplicacionista Para Empresa De Gastroeterología,Aplicacionista para empresa de Gastroeterología y Cirugía,CABA,No especificada,"c (Técnica), técnico (Técnica), experiencia (Blanda), comunicación (Blanda), disponibilidad para viajar (Blanda)"
Coordinador De Postventa En Empresa,Coordinador de Postventa en Empresa Nacional,CABA,No especificada,"c (Técnica), técnico (Técnica), experiencia (Blanda), comunicación (Blanda)"
S Laborales Búsquedas Laborales 25,Comercial para Sistemas de Radioterapia,Bolivia,No especificada,"c (Técnica), bioingeniero (Técnica), técnico (Técnica), ingeniero (Técnica), experiencia (Blanda), comunicación (Blanda), proactividad (Blanda), perfil comercial (Blanda), disponibilidad para viajar (Blanda)"
S Laborales Búsquedas Laborales 25,Especialista en Soporte técnico,CABA,No especificada,"c (Técnica), bioingeniero (Técnica), técnico (Técnica), ingeniero (Técnica), experiencia (Blanda), comunicación (Blanda), trabajo en equipo (Blanda)"
Consultoria Y Venta De Software,Consultoria y Venta de Software,Buenos Aires,No especificada,"software (Técnica), c (Técnica), bioingeniero (Técnica), ingeniero (Técnica), comunicación (Blanda)"
Bioingeniero,Bioingeniero/a Jr. para post-venta de equipos de Cardiología,CABA,No especificada,"c (Técnica), bioingeniero (Técnica), ingeniero (Técnica), experiencia (Blanda), comunicación (Blanda), trabajo en equipo (Blanda), empatía (Blanda), proactividad (Blanda), orientación al cliente (Blanda), orientación a resultados (Blanda)"
Coordinador,Coordinador/a de Proyectos de Radiología,CABA,5 de diciembre de 2022,"c (Técnica), bioingeniero (Técnica), ingeniero (Técnica), experiencia (Blanda), comunicación (Blanda), trabajo en equipo (Blanda), disponibilidad para viajar (Blanda)"
Jefe De Ventas De Dispositivos,Jefe de Ventas de dispositivos y equipamiento médico,No especificada,No especificada,"c (Técnica), experiencia (Blanda), comunicación (Blanda)"
Técnico En Producción De Medicamentos,Técnico en Producción de Medicamentos para centro de investigación Biofarmaceutica,Paraná,No especificada,"informática (Técnica), c (Técnica), técnico (Técnica), herramientas informáticas (Técnica), comunicación (Blanda), proactividad (Blanda), disponibilidad horaria (Blanda)"
Soporte Técnico Para Empresa De,Soporte Técnico para empresa de equipamiento en el NEA,Corrientes,No especificada,"c (Técnica), bioingeniero (Técnica), técnico (Técnica), ingeniero (Técnica), reparación de equipos (Técnica), experiencia (Blanda), comunicación (Blanda)"
Bioingeniero,Bioingeniero/a para la comercialización de linea de  Neurología,No especificada,No especificada,"c (Técnica), bioingeniero (Técnica), ingeniero (Técnica), comunicación (Blanda)"
Fleni Sede Belgrano Seleccionará Bioingeniero,FLENI Sede Belgrano seleccionará Bioingeniero/a,CABA,No especificada,"c (Técnica), bioingeniero (Técnica), ingeniero (Técnica), experiencia (Blanda), comunicación (Blanda), orientación a resultados (Blanda)"
Técnico Semi-Senior De Equipos Biomédicos,Técnico Semi-Senior de Equipos Biomédicos,No especificada,20 de diciembre de 2022,"c (Técnica), técnico (Técnica), licenciado (Técnica), experiencia (Blanda), comunicación (Blanda), trabajo en equipo (Blanda), resolución de problemas (Blanda)"
Gerente Comercial - Rubro Biome,Gerente Comercial - Rubro Biomédico en Córdoba,Córdoba,No especificada,"c (Técnica), manejo de equipos (Técnica), experiencia (Blanda), comunicación (Blanda)"
Asesor Comercial De Equipamiento Médico,Asesor Comercial de Equipamiento Médico en Mendoza,Mendoza,No especificada,"c (Técnica), experiencia (Blanda), comunicación (Blanda), trabajo en equipo (Blanda), perfil comercial (Blanda)"
Personal Técnico Junior O Semi,Personal Técnico junior o semi senior en Imágenes Médicas,CABA,No especificada,"c (Técnica), técnico (Técnica), reparación de equipos (Técnica), experiencia (Blanda), comunicación (Blanda), disponibilidad para viajar (Blanda)"
Personal Técnico Semi Senior Equipamiento,Personal Técnico semi senior Equipamiento Hospitalario,CABA,No especificada,"c (Técnica), técnico (Técnica), experiencia (Blanda), comunicación (Blanda)"
Implementador,Implementador/a de Sistemas Informáticos de Salud,Buenos Aires,No especificada,"software (Técnica), c (Técnica), técnico (Técnica), redes (Técnica), experiencia (Blanda), comunicación (Blanda)"
Ejecutivo,Ejecutivo/a Comercial para Santa Fe y Entre Ríos,Santa Fe,No especificada,"c (Técnica), técnico (Técnica), experiencia (Blanda), comunicación (Blanda), trabajo en equipo (Blanda)"
Senior,Senior/Principal Programmer Analyst - LATAM,Córdoba,No especificada,"c (Técnica), comunicación (Blanda)"
Asesor Comercial Para Equipamiento De,Asesor Comercial para Equipamiento de Estética u Oftalmología,Buenos Aires,28 de diciembre de 2022,"c (Técnica), experiencia (Blanda), comunicación (Blanda), trabajo en equipo (Blanda), proactividad (Blanda), perfil comercial (Blanda), disponibilidad para viajar (Blanda)"
Especialista De Producto - Estética,Especialista de Producto - Estética u Oftalmología,Buenos Aires,28 de diciembre de 2022,"c (Técnica), experiencia (Blanda), comunicación (Blanda), trabajo en equipo (Blanda), proactividad (Blanda), disponibilidad para viajar (Blanda)"
Título Noticia Cuerpo De Texto,"Título
noticia",No especificada,No especificada,"c (Técnica), comunicación (Blanda)"
Concurso Para Jefatura De Laboratorio,Concurso para Jefatura de Laboratorio en el Instituto Leloir,No especificada,No especificada,"informática (Técnica), c (Técnica), comunicación (Blanda)"
Analista De Datos Bioinformáticos Para,Analista de datos bioinformáticos para Instituto de Barcelona,No especificada,No especificada,"informática (Técnica), programación (Técnica), software (Técnica), bases de datos (Técnica), sql (Técnica), python (Técnica), c (Técnica), c++ (Técnica), bioinformático (Técnica), técnico (Técnica), analista (Técnica), experiencia (Blanda), comunicación (Blanda)"
S En La Residencia De,Residencia de Ingeniería en Mantenimiento Hospitalario y Electromedicina,No especificada,16 de junio de 2022,"c (Técnica), ingeniero (Técnica), comunicación (Blanda), docencia (Blanda)"
S En La Residencia De,Residencia de Ingeniería en Mantenimiento Hospitalario y Electromedicina,No especificada,16 de junio de 2022,"c (Técnica), ingeniero (Técnica), comunicación (Blanda), docencia (Blanda)"
Beca De Doctorado Tema,Beca de Doctorado Tema: TEP para el Estudio de Enfermedades Neurodegenerativas.,No especificada,No especificada,"c (Técnica), comunicación (Blanda)"
Beca De Doctorado Tema,Beca de Doctorado Tema: Interacción tumor - sistema inmune y Desarrollo del cortex cerebral mamífero.,No especificada,No especificada,"c (Técnica), comunicación (Blanda)"
Búsqueda De Candidato,Búsqueda de Candidato/a para postular a Beca Doctoral de CONICET,No especificada,01/04/2023,"informática (Técnica), python (Técnica), c (Técnica), comunicación (Blanda)"
De Oncología,Llamado a Residencia Postbásica en Física Médica,No especificada,10 de agosto de 2022,"c (Técnica), bioingeniero (Técnica), ingeniero (Técnica), comunicación (Blanda)"
Candidato Beca Conicet A Desarrollar,Candidato Beca CONICET a desarrollar en la FIUNER,No especificada,No especificada,"software (Técnica), c (Técnica), ingeniero (Técnica), comunicación (Blanda)"
Beca Para Formarse En Neurociencia,Beca para formarse en Neurociencia Cognitiva,No especificada,No especificada,"programación (Técnica), python (Técnica), c (Técnica), experiencia (Blanda), comunicación (Blanda)"
Beca Posdoctoral Sobre Genómica Computacional,Beca Posdoctoral sobre genómica computacional,No especificada,1 de agosto de 2022,"informática (Técnica), programación (Técnica), c (Técnica), bioinformático (Técnica), experiencia (Blanda), comunicación (Blanda)"
Beca De Iniciación Para Graduados,Beca de iniciación para graduados para Mantenimiento de Radioterapia / Diagnóstico por imágenes,No especificada,No especificada,"c (Técnica), bioingeniero (Técnica), ingeniero (Técnica), comunicación (Blanda)"
Búsqueda De Candidat,Búsqueda de candidat@ doctoral asociado a PICT 2018,No especificada,1 de mayo de 2022,"c (Técnica), comunicación (Blanda)"
Candidata,Candidata/o doc o postdoc para realizar su formación en Neurociencia Cognitiva,No especificada,No especificada,"programación (Técnica), python (Técnica), c (Técnica), experiencia (Blanda), comunicación (Blanda)"
Project Manager Junior Para Gestionar,Project Manager Junior para gestionar proyectos de software colaborativos entre producción - grupos de investigación,No especificada,No especificada,"software (Técnica), c (Técnica), desarrollador (Técnica), experiencia (Blanda), comunicación (Blanda)"
Residencia En Física Médica En,Residencia en Física Médica en Neuquén,Neuquén,No especificada,"c (Técnica), técnico (Técnica), comunicación (Blanda)"
Especialista Técnico En Ingeniería Biomédica,Especialista Técnico en Ingeniería Biomédica en Guatemala,No especificada,No especificada,"c (Técnica), técnico (Técnica), comunicación (Blanda)"
Clinical Specialist Neurosurgery En Santiago,Clinical Specialist Neurosurgery en Santiago de Chile,Chile,No especificada,"c (Técnica), comunicación (Blanda)"
Candidata,Candidata/o doctoral o post para formarse enResonancia Magnética,No especificada,No especificada,"programación (Técnica), python (Técnica), c (Técnica), experiencia (Blanda), comunicación (Blanda)"
Profesional De La Bioinformática Para,Profesional de la Bioinformática para el IMIPP CONICET,CABA,No especificada,"informática (Técnica), programación (Técnica), bases de datos (Técnica), python (Técnica), c (Técnica), bioinformático (Técnica), técnico (Técnica), experiencia (Blanda), comunicación (Blanda), capacidad de aprendizaje (Blanda)"
Beca Doctoral Inicial,Beca Doctoral Inicial: Entrenamiento de algoritmos para la asistencia al diagnóstico de la retinopatía.,Tandil,15 de mayo de 2022,"informática (Técnica), programación (Técnica), software (Técnica), python (Técnica), c (Técnica), ingeniero (Técnica), experiencia (Blanda), comunicación (Blanda), docencia (Blanda)"
Pre-Residencia En Ingeniería Clínica En,Pre-Residencia en Ingeniería Clínica en el Instituto de  Cardiología de Corrientes,Corrientes,No especificada,"c (Técnica), ingeniero (Técnica), comunicación (Blanda), docencia (Blanda)"
Beca Doctoral Para Aplicar Tecnologías,Beca Doctoral para aplicar tecnologías de secuenciación y bioinformática,No especificada,No especificada,"informática (Técnica), c (Técnica), comunicación (Blanda)"
S Doctorales Conicet Para Trabajar,Búsqueda candidato/a Becas Doctorales Conicet para trabajar en algoritmos de análisis estadístico multivariado,No especificada,18/07/2022,"c (Técnica), comunicación (Blanda)"
S Doctorales Conicet Para Trabajar,Búsqueda candidato/a Becas Doctorales Conicet para trabajar con herramientas bioinformáticas de análisis genómicos.,CABA,01/04/2023,"informática (Técnica), programación (Técnica), c (Técnica), bioinformático (Técnica), licenciado (Técnica), comunicación (Blanda)"
S Doctorales Conicet Para Trabajar,Búsqueda candidato/a Becas Doctorales Conicet para trabajar en el desarrollo de marcapasos imitador de la VFC,No especificada,No especificada,"c (Técnica), comunicación (Blanda)"
Beca Para Realizar Doctorado En,Beca para realizar doctorado en Genómica y Bioinformática.,Buenos Aires,No especificada,"informática (Técnica), c (Técnica), comunicación (Blanda)"
Residencia En Física Médica En,Residencia en Física Médica en Rio Negro,Neuquén,No especificada,"c (Técnica), comunicación (Blanda)"
Concurso Cpa,Concurso CPA: Profesional para el área de bioinformática,No especificada,21/09/2022,"informática (Técnica), programación (Técnica), software (Técnica), bases de datos (Técnica), python (Técnica), c (Técnica), técnico (Técnica), redes (Técnica), experiencia (Blanda), comunicación (Blanda)"
Concurso Cpa En El Ibb-Conicet-Uner,Concurso CPA en el IBB-CONICET-UNER,No especificada,No especificada,"programación (Técnica), software (Técnica), bases de datos (Técnica), python (Técnica), c (Técnica), c++ (Técnica), experiencia (Blanda), comunicación (Blanda)"
Vacante De Beca Para El,Vacante de beca para el área de biología estructural,Santa Fe,No especificada,"software (Técnica), c (Técnica), comunicación (Blanda)"
Becas Profesionales En El Inta,Becas Profesionales en el INTA,No especificada,7 de noviembre de 2022,"c (Técnica), redes (Técnica), comunicación (Blanda), trabajo interdisciplinario (Blanda)"
